,participant,lang_1,lang_2,region,age,l2_rating,native,l2,item_num,item_text,item_response,e.c_1.0,m_f,condition,repeated_pro,canada_specific_pro,exp_con
1,1,English,,USA,NA,4,0,1,1,"Chacun, il veut avoir raison",3,1,m,1,NA,0,0
32,2,Spanish,Portuguese,France,NA,7,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
63,3,English,,USA,NA,6,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
94,4,French,,France,NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
125,5,French,,Belgium,NA,NA,1,0,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
156,6,French,,France,NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
187,7,English,French,USA,NA,10,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
218,8,Greek,,USA,NA,7,0,1,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
249,9,English,,France,NA,5,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
280,10,English,Czech,USA,NA,7,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
311,11,Creole,French,Haiti,NA,7,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
342,12,Marathi,English,USA,NA,7,0,1,1,"Chacun, il veut avoir raison",4,1,m,1,NA,0,0
373,13,English,,USA,NA,5,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
404,14,English,,Ireland,NA,7,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
435,15,Ede Caabe,French,Benin,NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
466,16,English,Norwegian,USA,NA,6,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
497,17,French,,Belgium,NA,NA,1,0,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
528,18,English,Spanish,USA,NA,6,0,1,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
559,19,English,,Canada,16,6,0,1,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
590,20,French,,Guayana,13,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
621,21,English,,USA,21,6,0,1,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
652,22,French,,France,22,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
683,23,French,,France,NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
714,24,French,,France,29,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
745,25,French,,France,30,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
776,26,English,,USA,30,4,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
807,27,French,,France,28,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
838,28,French,,France,23,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
869,29,English,Italian,USA,19,4,0,1,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
900,30,English,,USA,35,9,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
931,31,French,,Canada,37,NA,1,0,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
962,32,Vietnamese,,Canada,43,10,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
993,33,French,,Canada,24,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1024,34,French,,Canada,35,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1055,35,French,,Canada,22,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1086,36,French,,Canada,30,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1117,37,French,,Canada,29,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1148,38,French,,Canada,24,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1179,39,French,,Canada,35,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1210,40,French,,Canada,50,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1241,41,French,,Canada,40,NA,1,0,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
1272,42,French,,Canada,25,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1303,43,French,,Canada,28,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1334,44,French,,Canada,28,NA,1,0,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1365,45,French,,Canada,25,NA,1,0,1,"Chacun, il veut avoir raison",2,1,m,1,NA,0,0
1396,46,English,,USA,36,8,0,1,1,"Chacun, il veut avoir raison",1,1,m,1,NA,0,0
1427,47,French,,Canada,34,NA,1,0,1,"Chacun, il veut avoir raison",3,1,m,1,NA,0,0
