"","participant","lang_1","lang_2","region","age","l2_rating","native","l2","item_num","item_text","item_response","e.c_1.0","m_f","condition","repeated_pro","canada_specific_pro","exp_con"
"95",4,"French","","France",NA,NA,1,0,2,"Chacun veut avoir raison",4,0,NA,1,NA,0,1
"97",4,"French","","France",NA,NA,1,0,4,"Tous sont d'accord",5,0,NA,1,NA,0,1
"100",4,"French","","France",NA,NA,1,0,7,"Quelqu'un a telephone",5,0,"m",1,NA,0,1
"106",4,"French","","France",NA,NA,1,0,13,"Tous mes amis, sont partis en vacances",5,0,"f",1,NA,0,1
"108",4,"French","","France",NA,NA,1,0,15,"Quelques amis sont venus",5,0,"m",1,NA,0,1
"110",4,"French","","France",NA,NA,1,0,17,"Aucun enfant a le droit de faire ca",5,0,NA,1,NA,0,1
"111",4,"French","","France",NA,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"114",4,"French","","France",NA,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",5,0,NA,1,NA,0,1
"116",4,"French","","France",NA,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"117",4,"French","","France",NA,NA,1,0,24,"Jean, il boit et mange toute la journee",5,NA,"m",2,0,0,1
"126",5,"French","","Belgium",NA,NA,1,0,2,"Chacun veut avoir raison",5,0,NA,1,NA,0,1
"128",5,"French","","Belgium",NA,NA,1,0,4,"Tous sont d'accord",5,0,NA,1,NA,0,1
"131",5,"French","","Belgium",NA,NA,1,0,7,"Quelqu'un a telephone",5,0,"m",1,NA,0,1
"137",5,"French","","Belgium",NA,NA,1,0,13,"Tous mes amis, sont partis en vacances",1,0,"f",1,NA,0,1
"139",5,"French","","Belgium",NA,NA,1,0,15,"Quelques amis sont venus",5,0,"m",1,NA,0,1
"141",5,"French","","Belgium",NA,NA,1,0,17,"Aucun enfant a le droit de faire ca",5,0,NA,1,NA,0,1
"142",5,"French","","Belgium",NA,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"145",5,"French","","Belgium",NA,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",5,0,NA,1,NA,0,1
"147",5,"French","","Belgium",NA,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"148",5,"French","","Belgium",NA,NA,1,0,24,"Jean, il boit et mange toute la journee",5,NA,"m",2,0,0,1
"157",6,"French","","France",NA,NA,1,0,2,"Chacun veut avoir raison",3,0,NA,1,NA,0,1
"159",6,"French","","France",NA,NA,1,0,4,"Tous sont d'accord",4,0,NA,1,NA,0,1
"162",6,"French","","France",NA,NA,1,0,7,"Quelqu'un a telephone",5,0,"m",1,NA,0,1
"168",6,"French","","France",NA,NA,1,0,13,"Tous mes amis, sont partis en vacances",3,0,"f",1,NA,0,1
"170",6,"French","","France",NA,NA,1,0,15,"Quelques amis sont venus",5,0,"m",1,NA,0,1
"172",6,"French","","France",NA,NA,1,0,17,"Aucun enfant a le droit de faire ca",3,0,NA,1,NA,0,1
"173",6,"French","","France",NA,NA,1,0,18,"Aucune enfante, elle a le droit de faire ca",1,1,"f",1,NA,0,1
"176",6,"French","","France",NA,NA,1,0,21,"Beaucoup d'americains ont achete du papier toilette",5,0,NA,1,NA,0,1
"178",6,"French","","France",NA,NA,1,0,23,"Peu de gens ont accord une assurance sante",5,0,NA,1,NA,0,1
"179",6,"French","","France",NA,NA,1,0,24,"Jean, il boit et mange toute la journee",2,NA,"m",2,0,0,1
"436",15,"Ede Caabe","French","Benin",NA,NA,1,0,2,"Chacun veut avoir raison",5,0,NA,1,NA,0,1
"438",15,"Ede Caabe","French","Benin",NA,NA,1,0,4,"Tous sont d'accord",5,0,NA,1,NA,0,1
